,Epoch,Feature type,Test accuracy
0,0,Color Histogram & Edge Direction Histogram,8.666666666666668
1,100,Color Histogram & Edge Direction Histogram,10.666666666666668
2,200,Color Histogram & Edge Direction Histogram,15.0
3,300,Color Histogram & Edge Direction Histogram,16.666666666666664
4,400,Color Histogram & Edge Direction Histogram,17.666666666666668
5,500,Color Histogram & Edge Direction Histogram,18.666666666666668
6,600,Color Histogram & Edge Direction Histogram,18.333333333333332
7,700,Color Histogram & Edge Direction Histogram,17.666666666666668
8,800,Color Histogram & Edge Direction Histogram,18.0
9,900,Color Histogram & Edge Direction Histogram,19.0
10,1000,Color Histogram & Edge Direction Histogram,19.0
11,1100,Color Histogram & Edge Direction Histogram,18.666666666666668
12,1200,Color Histogram & Edge Direction Histogram,18.666666666666668
13,1300,Color Histogram & Edge Direction Histogram,19.0
14,1400,Color Histogram & Edge Direction Histogram,19.666666666666664
15,1500,Color Histogram & Edge Direction Histogram,20.0
16,1600,Color Histogram & Edge Direction Histogram,20.0
17,1700,Color Histogram & Edge Direction Histogram,20.333333333333332
18,1800,Color Histogram & Edge Direction Histogram,20.666666666666668
19,1900,Color Histogram & Edge Direction Histogram,20.666666666666668
20,2000,Color Histogram & Edge Direction Histogram,20.666666666666668
21,2100,Color Histogram & Edge Direction Histogram,20.666666666666668
22,2200,Color Histogram & Edge Direction Histogram,21.0
23,2300,Color Histogram & Edge Direction Histogram,22.0
24,2400,Color Histogram & Edge Direction Histogram,22.0
25,2500,Color Histogram & Edge Direction Histogram,22.0
26,2600,Color Histogram & Edge Direction Histogram,22.0
27,2700,Color Histogram & Edge Direction Histogram,22.0
28,2800,Color Histogram & Edge Direction Histogram,22.0
29,2900,Color Histogram & Edge Direction Histogram,22.0
30,3000,Color Histogram & Edge Direction Histogram,22.0
31,3100,Color Histogram & Edge Direction Histogram,22.0
32,3200,Color Histogram & Edge Direction Histogram,22.0
33,3300,Color Histogram & Edge Direction Histogram,22.0
34,3400,Color Histogram & Edge Direction Histogram,22.0
35,3500,Color Histogram & Edge Direction Histogram,22.0
36,3600,Color Histogram & Edge Direction Histogram,22.0
37,3700,Color Histogram & Edge Direction Histogram,22.0
38,3800,Color Histogram & Edge Direction Histogram,22.0
39,3900,Color Histogram & Edge Direction Histogram,22.0
40,4000,Color Histogram & Edge Direction Histogram,21.666666666666668
41,4100,Color Histogram & Edge Direction Histogram,22.0
42,4200,Color Histogram & Edge Direction Histogram,22.0
43,4300,Color Histogram & Edge Direction Histogram,22.0
44,4400,Color Histogram & Edge Direction Histogram,22.0
45,4500,Color Histogram & Edge Direction Histogram,22.333333333333332
46,4600,Color Histogram & Edge Direction Histogram,22.333333333333332
47,4700,Color Histogram & Edge Direction Histogram,22.333333333333332
48,4800,Color Histogram & Edge Direction Histogram,22.333333333333332
49,4900,Color Histogram & Edge Direction Histogram,22.333333333333332
50,5000,Color Histogram & Edge Direction Histogram,22.333333333333332
51,0,RGB Co-occurrence Matrix & Co-occurrence Matrix,5.666666666666666
52,100,RGB Co-occurrence Matrix & Co-occurrence Matrix,12.333333333333334
53,200,RGB Co-occurrence Matrix & Co-occurrence Matrix,13.333333333333334
54,300,RGB Co-occurrence Matrix & Co-occurrence Matrix,14.333333333333334
55,400,RGB Co-occurrence Matrix & Co-occurrence Matrix,15.0
56,500,RGB Co-occurrence Matrix & Co-occurrence Matrix,16.333333333333332
57,600,RGB Co-occurrence Matrix & Co-occurrence Matrix,17.0
58,700,RGB Co-occurrence Matrix & Co-occurrence Matrix,17.333333333333336
59,800,RGB Co-occurrence Matrix & Co-occurrence Matrix,17.333333333333336
60,900,RGB Co-occurrence Matrix & Co-occurrence Matrix,18.0
61,1000,RGB Co-occurrence Matrix & Co-occurrence Matrix,17.666666666666668
62,1100,RGB Co-occurrence Matrix & Co-occurrence Matrix,17.666666666666668
63,1200,RGB Co-occurrence Matrix & Co-occurrence Matrix,18.0
64,1300,RGB Co-occurrence Matrix & Co-occurrence Matrix,18.0
65,1400,RGB Co-occurrence Matrix & Co-occurrence Matrix,18.666666666666668
66,1500,RGB Co-occurrence Matrix & Co-occurrence Matrix,19.0
67,1600,RGB Co-occurrence Matrix & Co-occurrence Matrix,19.0
68,1700,RGB Co-occurrence Matrix & Co-occurrence Matrix,19.333333333333332
69,1800,RGB Co-occurrence Matrix & Co-occurrence Matrix,19.666666666666664
70,1900,RGB Co-occurrence Matrix & Co-occurrence Matrix,19.666666666666664
71,2000,RGB Co-occurrence Matrix & Co-occurrence Matrix,19.0
72,2100,RGB Co-occurrence Matrix & Co-occurrence Matrix,19.0
73,2200,RGB Co-occurrence Matrix & Co-occurrence Matrix,19.0
74,2300,RGB Co-occurrence Matrix & Co-occurrence Matrix,19.0
75,2400,RGB Co-occurrence Matrix & Co-occurrence Matrix,19.0
76,2500,RGB Co-occurrence Matrix & Co-occurrence Matrix,19.333333333333332
77,2600,RGB Co-occurrence Matrix & Co-occurrence Matrix,19.333333333333332
78,2700,RGB Co-occurrence Matrix & Co-occurrence Matrix,19.666666666666664
79,2800,RGB Co-occurrence Matrix & Co-occurrence Matrix,20.333333333333332
